pk,name,category,direct_parents
10225,Danville,other,1021
10226,Vale Summit,other,1021
10227,Midlothian,other,1021
10228,Bier,other,1021
10229,Luke,other,1021
10230,Pleasant Grove,other,1021
10231,Nikep,other,1021
10232,Little Orleans,other,1021
10233,Mount Savage,other,1021
10234,Woodland,other,1021
10235,Midland,other,1021
10236,Westernport,other,1021
10237,Cresaptown,other,1021
10238,La Vale,other,1021
10239,Flintstone,other,1021
10240,Oldtown,other,1021
10241,Klondike,other,1021
10242,Grahamtown,other,1021
10243,National,other,1021
10244,Moscow,other,1021
10245,Zihlman,other,1021
10246,Spring Gap,other,1021
10247,Potomac Park,other,1021
10248,Bowling Green,other,1021
10249,McCoole,other,1021
10250,Bowmans Addition,other,1021
10251,Rawlings,other,1021
10252,Detmold,other,1021
10253,Frostburg,other,1021
10254,Ocean,other,1021
10255,Barton,other,1021
10256,Eckhart Mines,other,1021
10257,Cumberland,other,1021
10258,Dawson,other,1021
10259,Ellerslie,other,1021
10260,Port Deposit,other,1022
10261,Cecilton,other,1022
10262,Chesapeake City,other,1022
10263,Elkton,other,1022
10264,Rising Sun,other,1022
10265,North East,other,1022
10266,Perryville,other,1022
10267,Charlestown,other,1022
10268,Union Bridge,other,1023
10269,Mount Airy,other,"1023,1499"
10270,Eldersburg,other,1023
10271,Taneytown,other,1023
10272,Westminster,other,1023
10273,Manchester,other,1023
10274,New Windsor,other,1023
10275,Hampstead,other,1023
10276,Sykesville,other,1023
10277,Still Pond,other,1024
10278,Chesapeake Landing,other,1024
10279,Millington,other,"2156,1024"
10280,Edesville,other,1024
10281,Worton,other,1024
10282,Betterton,other,1024
10283,Georgetown,other,1024
10284,Galena,other,1024
10285,Rock Hall,other,1024
10286,Fairlee,other,1024
10287,Butlertown,other,1024
10288,Chestertown,other,1024
10289,Kennedyville,other,1024
10290,Tolchester,other,1024
10291,Greenfield,other,1025
10292,Turners Falls,other,1025
10293,Millers Falls,other,1025
10294,South Deerfield,other,1025
10295,Orange,other,1025
10296,Deerfield,other,1025
10297,Northfield,other,1025
10298,Shelburne Falls,other,1025
10299,Waldo,other,1026
10300,Lincoln,other,1026
10301,Oxford,other,"2993,1026"
10302,Bon Air,other,1026
10303,Oak Grove,other,1026
10304,Munford,other,1026
10305,Vincent,other,"2056,1026,1030"
10306,Childersburg,other,1026
10307,Fayetteville,other,1026
10308,Mignon,other,1026
10309,Talladega,other,1026
10310,Talladega Springs,other,1026
10311,Sylacauga,other,1026
10312,Troy,other,1027
10313,Goshen,other,1027
10314,Brundidge,other,1027
10315,Banks,other,1027
10316,Romeo,other,1028
10317,New Haven,other,1028
10318,Armada,other,1028
10319,Center Line,other,1028
10320,New Baltimore,other,1028
10321,Eastpointe,other,1028
