pk,name,category,direct_parents
1261,Perry,county,29
1262,Cedar,county,29
1263,Saline,county,29
1264,Granite,county,30
1265,Deer Lodge,county,30
1266,Silver Bow,county,30
1267,Howard,county,31
1268,Loup,county,31
1269,Arthur,county,31
1270,Churchill,county,32
1271,Sandoval,county,35
1272,Harding,county,35
1273,Thomas,county,31
1274,Shasta,county,6
1275,Sussex,county,10
1276,Lee,county,12
1277,Pinellas,county,12
1278,Levy,county,12
1279,Miami-Dade,county,12
1280,Brevard,county,12
1281,Gulf,county,12
1282,Dixie,county,12
1283,DuPage,county,17
1284,Cumberland,county,17
1285,Nassau,county,12
1286,Cass,county,17
1287,Brooks,county,13
1288,Rock Island,county,17
1289,Madison,county,1
1290,Jackson,county,1
1291,Yuma,county,4
1292,Apache,county,4
1293,Coconino,county,4
1294,Sebastian,county,5
1295,Sevier,county,5
1296,Yavapai,county,4
1297,Carroll,county,5
1298,Union,county,5
1299,Mississippi,county,5
1300,Randolph,county,5
1301,San Diego,county,6
1302,Orange,county,6
1303,Monterey,county,6
1304,Inyo,county,6
1305,Alameda,county,6
1306,Mono,county,6
1307,Del Norte,county,6
1308,La Plata,county,8
1309,Weld,county,8
1310,Routt,county,8
1311,New London,county,9
1312,Dolores,county,8
1313,St. Louis,county,29
1314,Big Horn,county,30
1315,Richland,county,30
1316,Phillips,county,30
1317,Liberty,county,30
1318,Glacier,county,30
1319,Valley,county,30
1320,Madison,county,30
1321,Flathead,county,30
1322,Deuel,county,31
1323,Clark,county,32
1324,Grafton,county,33
1325,Essex,county,36
1326,Washington,county,36
1327,Carteret,county,37
1328,Macon,county,37
1329,Cherokee,county,37
1330,Dare,county,37
1331,Beaufort,county,37
1332,Surry,county,37
1333,Pasquotank,county,37
1334,Tyrrell,county,37
1335,Madison,county,37
1336,Robeson,county,37
1337,Ashe,county,37
1338,Cass,county,38
1339,Grand Forks,county,38
1340,Pembina,county,38
1341,Van Wert,county,39
1342,Ottawa,county,39
1343,Bryan,county,40
1344,Harmon,county,40
1345,Douglas,county,41
1346,Malheur,county,41
1347,Wasco,county,41
1348,Baker,county,41
1349,Morrow,county,41
1350,York,county,42
1351,Philadelphia,county,42
1352,Somerset,county,42
1353,Charleston,county,45
1354,Aiken,county,45
1355,Cherokee,county,45
1356,Union,county,46
1357,Hamilton,county,47
1358,Macon,county,47
1359,Elbert,county,13
1360,Menard,county,17
1361,Whitfield,county,13
1362,De Witt,county,17
1363,Anderson,county,48
1364,Ward,county,48
1365,Burnet,county,48
1366,Cherokee,county,48
1367,Jasper,county,48
1368,San Saba,county,48
1369,Burleson,county,48
1370,Irion,county,48
1371,Delta,county,48
1372,San Jacinto,county,48
1373,Freestone,county,48
1374,Foard,county,48
1375,Sutton,county,48
1376,Utah,county,49
1377,Wasatch,county,49
1378,Morgan,county,49
1379,Emery,county,49
1380,Duchesne,county,49
1381,Rappahannock,county,51
1382,Henrico,county,51
1383,Fredericksburg,independent city,51
1384,Hanover,county,51
1385,Nelson,county,51
1386,Page,county,51
1387,Stafford,county,51
1388,Albemarle,county,51
1389,Buena Vista,independent city,51
1390,Franklin,county,53
1391,Randolph,county,54
1392,Roane,county,54
1393,Jefferson,county,48
1394,Lamar,county,48
1395,Uintah,county,49
1396,Essex,county,50
1397,Accomack,county,51
1398,Westmoreland,county,51
1399,Middlesex,county,51
1400,Tazewell,county,51
1401,Frederick,county,51
1402,Loudoun,county,51
1403,Prince William,county,51
1404,Fairfax,county,51
